#pose_index origin_score combined_score sfct RMSD(Angstrom)
0 -8.200 -2.067 4.066 inf
1 -8.000 -1.389 5.221 inf
2 -7.900 -1.385 5.130 inf
3 -7.900 -1.469 4.963 inf
4 -7.800 -1.309 5.182 inf
5 -7.700 -1.224 5.251 inf
6 -7.700 -1.199 5.302 inf
7 -7.700 -1.478 4.745 inf
8 -7.600 -1.141 5.317 inf
9 -7.500 -1.264 4.973 inf
10 -7.500 -1.231 5.039 inf
11 -7.500 -1.053 5.393 inf
12 -7.400 -0.905 5.590 inf
13 -7.400 -1.026 5.348 inf
14 -7.400 -1.465 4.469 inf
15 -7.300 -1.041 5.218 inf
16 -7.200 -0.855 5.491 inf
17 -7.200 -0.960 5.280 inf
18 -7.100 -0.800 5.501 inf
19 -7.100 -0.945 5.209 inf
